canal,suscribers,hours,,,,,,,,
LATINA HD 2023-01-02 05:00:00,23470,17235.8,,23470,22639,35131,27372,24973,22278,20652
LATINA HD 2023-01-03 05:00:00,22639,16432.18333,,17235.8,16432.18333,21401.56667,19989.23333,18529.36667,19242.58333,17838.8
LATINA HD 2023-01-04 05:00:00,35131,21401.56667,,,,,,,,
LATINA HD 2023-01-05 05:00:00,27372,19989.23333,,,,,,,,
LATINA HD 2023-01-06 05:00:00,24973,18529.36667,,,,,,,,
LATINA HD 2023-01-07 05:00:00,22278,19242.58333,,,,,,,,
LATINA HD 2023-01-08 05:00:00,20652,17838.8,,,,,,,,
AMERICA TELEVISION HD 2023-01-02 05:00:00,37804,34810.63333,,37804,38047,54366,43786,40304,32351,28915
AMERICA TELEVISION HD 2023-01-03 05:00:00,38047,34241.03333,,34810.63333,34241.03333,41831.36667,37268.88333,35342.76667,27292.26667,23823.7
AMERICA TELEVISION HD 2023-01-04 05:00:00,54366,41831.36667,,,,,,,,
AMERICA TELEVISION HD 2023-01-05 05:00:00,43786,37268.88333,,,,,,,,
AMERICA TELEVISION HD 2023-01-06 05:00:00,40304,35342.76667,,,,,,,,
AMERICA TELEVISION HD 2023-01-07 05:00:00,32351,27292.26667,,,,,,,,
AMERICA TELEVISION HD 2023-01-08 05:00:00,28915,23823.7,,,,,,,,
WILLAX 2023-01-02 13:50:00,7705,1990.283333,,7705,7097,7843,6521,5679,5924,4871
WILLAX 2023-01-03 13:50:00,7097,1556.416667,,1990.283333,1556.416667,2079.866667,1519.116667,1404.55,1627.75,941.15
WILLAX 2023-01-04 13:50:00,7843,2079.866667,,,,,,,,
WILLAX 2023-01-05 13:50:00,6521,1519.116667,,,,,,,,
WILLAX 2023-01-06 13:50:00,5679,1404.55,,,,,,,,
WILLAX 2023-01-07 13:50:00,5924,1627.75,,,,,,,,
WILLAX 2023-01-08 13:50:00,4871,941.15,,,,,,,,
AMERICA TELEVISION HD 2023-01-02 19:00:00,26286,22185.01667,,26286,27316,29487,26808,24533,25452,24191
AMERICA TELEVISION HD 2023-01-03 19:00:00,27316,23463.05,,22185.01667,23463.05,24291.3,24043.76667,22088.13333,80928.15,12277.7
AMERICA TELEVISION HD 2023-01-04 19:00:00,29487,24291.3,,,,,,,,
AMERICA TELEVISION HD 2023-01-05 19:00:00,26808,24043.76667,,,,,,,,
AMERICA TELEVISION HD 2023-01-06 19:00:00,24533,22088.13333,,,,,,,,
AMERICA TELEVISION HD 2023-01-07 19:00:00,25452,80928.15,,,,,,,,
AMERICA TELEVISION HD 2023-01-08 19:00:00,24191,12277.7,,,,,,,,
LATINA HD 2023-01-02 20:30:00,19508,10459.55,,19508,19549,20990,19182,17602,15456,29397
LATINA HD 2023-01-03 20:30:00,19549,10753.81667,,10459.55,10753.81667,10651.68333,11150.81667,10698.73333,6108,12603.83333
LATINA HD 2023-01-04 20:30:00,20990,10651.68333,,,,,,,,
LATINA HD 2023-01-05 20:30:00,19182,11150.81667,,,,,,,,
LATINA HD 2023-01-06 20:30:00,17602,10698.73333,,,,,,,,
LATINA HD 2023-01-07 20:30:00,15456,6108,,,,,,,,
LATINA HD 2023-01-08 20:30:00,29397,12603.83333,,,,,,,,
AMERICA TELEVISION HD 2023-01-02 21:30:00,19338,10099.35,,19338,19953,21154,19169,18402,13962,18764
AMERICA TELEVISION HD 2023-01-03 21:30:00,19953,10859.21667,,10099.35,10859.21667,11095.85,10736.61667,10339.11667,5252.466667,6113.416667
AMERICA TELEVISION HD 2023-01-04 21:30:00,21154,11095.85,,,,,,,,
AMERICA TELEVISION HD 2023-01-05 21:30:00,19169,10736.61667,,,,,,,,
AMERICA TELEVISION HD 2023-01-06 21:30:00,18402,10339.11667,,,,,,,,
AMERICA TELEVISION HD 2023-01-07 21:30:00,13962,5252.466667,,,,,,,,
AMERICA TELEVISION HD 2023-01-08 21:30:00,18764,6113.416667,,,,,,,,
ATV HD 2023-01-02 21:45:00,13084,5698.666667,,13084,12761,13333,11624,10501,12561,18343
ATV HD 2023-01-03 21:45:00,12761,5198.366667,,5698.666667,5198.366667,5572.366667,4655.183333,4321.783333,5895.883333,11242.01667
ATV HD 2023-01-04 21:45:00,13333,5572.366667,,,,,,,,
ATV HD 2023-01-05 21:45:00,11624,4655.183333,,,,,,,,
ATV HD 2023-01-06 21:45:00,10501,4321.783333,,,,,,,,
ATV HD 2023-01-07 21:45:00,12561,5895.883333,,,,,,,,
ATV HD 2023-01-08 21:45:00,18343,11242.01667,,,,,,,,
M DEPORTES HD 2023-01-02 22:00:00,2470,63.83333333,,2470,2719,3181,3207,3018,2998,4768
M DEPORTES HD 2023-01-03 22:00:00,2719,232.6,,63.83333333,232.6,212.9166667,467.5166667,425.7666667,301.8333333,186.8
M DEPORTES HD 2023-01-04 22:00:00,3181,212.9166667,,,,,,,,
M DEPORTES HD 2023-01-05 22:00:00,3207,467.5166667,,,,,,,,
M DEPORTES HD 2023-01-06 22:00:00,3018,425.7666667,,,,,,,,
M DEPORTES HD 2023-01-07 22:00:00,2998,301.8333333,,,,,,,,
M DEPORTES HD 2023-01-08 22:00:00,4768,186.8,,,,,,,,
AMERICA TELEVISION HD 2023-01-02 20:40:00,17831,10139.45,,17831,18025,18663,17385,15469,13168,13727
AMERICA TELEVISION HD 2023-01-03 20:40:00,18025,10873.95,,10139.45,10873.95,11205.28333,11012.75,51813.5,5560.366667,4273.2
AMERICA TELEVISION HD 2023-01-04 20:40:00,18663,11205.28333,,,,,,,,
AMERICA TELEVISION HD 2023-01-05 20:40:00,17385,11012.75,,,,,,,,
AMERICA TELEVISION HD 2023-01-06 20:40:00,15469,51813.5,,23470,22639,35131,27372,24973,22278,20652
AMERICA TELEVISION HD 2023-01-07 20:40:00,13168,5560.366667,,37804,38047,54366,43786,40304,32351,28915
AMERICA TELEVISION HD 2023-01-08 20:40:00,13727,4273.2,,7705,7097,7843,6521,5679,5924,4871
AMERICA TELEVISION HD 2023-01-07 09:00:00,15337,9225.983333,,26286,27316,29487,26808,24533,25452,24191
AMERICA TELEVISION HD 2023-01-07 11:00:00,5846,2141.016667,,19508,19549,20990,19182,17602,15456,29397
AMERICA TELEVISION HD 2023-01-07 19:00:00,29703,17977.81667,,19338,19953,21154,19169,18402,13962,18764
ATV HD 2023-01-07 20:30:00,26034,16553.08333,,13084,12761,13333,11624,10501,12561,18343
LATINA HD 2023-01-07 22:00:00,15296,7561.483333,,2470,2719,3181,3207,3018,2998,4768
AMERICA TELEVISION HD 2023-01-07 21:00:00,27932,12123.28333,,17831,18025,18663,17385,15469,13168,13727
LATINA HD 2023-01-08 20:00:00,38622,19451.31667,,,,,,,,
AMERICA TELEVISION HD 2023-01-08 20:00:00,31086,11410.33333,,17235.8,16432.18333,21401.56667,19989.23333,18529.36667,19242.58333,17838.8
PANAMERICANA TELEVISION HD 2023-01-08 19:50:00,30567,16224.06667,,34810.63333,34241.03333,41831.36667,37268.88333,35342.76667,27292.26667,23823.7
M DEPORTES HD 2023-01-08 21:30:00,5646,182.0666667,,1990.283333,1556.416667,2079.866667,1519.116667,1404.55,1627.75,941.15
,,,,22185.01667,23463.05,24291.3,24043.76667,22088.13333,80928.15,12277.7
,,,,10459.55,10753.81667,10651.68333,11150.81667,10698.73333,6108,12603.83333
,,,,10099.35,10859.21667,11095.85,10736.61667,10339.11667,5252.466667,6113.416667
,,,,5698.666667,5198.366667,5572.366667,4655.183333,4321.783333,5895.883333,11242.01667
,,,,63.83333333,232.6,212.9166667,467.5166667,425.7666667,301.8333333,186.8
,,,,10139.45,10873.95,11205.28333,11012.75,51813.5,5560.366667,4273.2
