PROGRAMAS MÁS VISTOS - SABADOS,,,,,,,,,,,,,,
Estas en todas 09:00 a 11:00,,,,,,10689,,,,,,,10212,
Cinescape 11:00 a 12:00,,,,,,4087,,,,,,,3865,
El reventonazo de la chola 19:00 a 21:00,,,,,,18918,,,,,,,17881,
JB 20:30 a 23:00,,,,,,23065,,,,,,,27247,
Perú tiene talento 22:00 a 00:00,,,,,,12453,,,,,,,13782,
La gran estrella  21 a 23:30 pm,,,,,,20152,,,,,,,20312,
PROGRAMAS MÁS VISTOS - DOMINGOS,,,,,,,,,,,,,,
Punto Final 20:00 a 22:00,,,,,,,23469,,,,,,,18261
Cuarto Poder 20:00 a 22:00,,,,,,,28561,,,,,,,21765
Panorama de 19:50 a 22 pm,,,,,,,18915,,,,,,,14832
Después de Todo 21:30 a 23:00,,,,,,,27319,,,,,,,5736
Total,,,,,,89364,98264,,,,,,93299,60594
